abcdefghijklmnopqrstuvwxyz
ABCDEFGHIJKLMNOPQRSTUVWXYZ%

CHT	CHS
	
職業	职业
MULTIPLAYER	MULTIPLAYER
選項	选项
退出	退出
	
	
LANGUAGES	LANGUAGES
ENGLISH	ENGLISH
FRANÇAIS	FRANÇAIS
DEUTSCH	DEUTSCH
ESPAÑOL	ESPAÑOL
ITALIANO	ITALIANO
PORTUGUÊS	PORTUGUÊS
PORTUGUÊS-BR	PORTUGUÊS-BR
简体	简体
繁體	繁體
ENGLISH	ENGLISH
即學即玩	即学即玩
競速賽	竞速赛
爭分奪秒	争分夺秒
單一賽道	单一赛道
警車追逐	警车追逐
道路挑戰	道路挑战
警車追逐	警车追逐
	
比賽暫停	比赛暂停
繼續	继续
	
重新開始比賽	重新开始比赛
再試一次	再试一次
向前	向前
後退	后退
	
錦標賽	锦标赛
修車廠	修车厂
訊息	消息
	
主辦遊戲	主持游戏
加入遊戲	加入游戏
設定	设置
伺服器	服务器列表
	
正在搜索伺服器...	正在搜索服务器…
開始遊戲	开始游戏
	
繁忙...	繁忙...
連線	连接
已連線	已连接
未連線	未连接
正在連線...	正在连接...
連線請求已失敗	连接请求失败
	
確認來自：\n%s的連線	确认来自：\n%s 的连接
確定	确定
取消	取消
	
正在等候客戶端	正在等待客户端
正在等候遊戲開始	正在等待游戏开始
正在等候連線...	正在等待连接...
	
藍芽連線	蓝牙连接
啟用藍芽無線科技？	激活蓝牙无线技术？
	
音效	音效
音效設定	音效设置
主音量	主音量
音效音量	音效音量
音樂音量	音乐音量
	
關於	关于
	
	
排名	排名
	
	
調整	调整
	
正常	正常
倒車	倒车
	
速度計	速度计
	
您贏了！	您赢了！
您輸了！	您输了！
	
	
載入中	加载中
	
圈數：	圈数：
位置：	位置：
時間：	时间：
最佳成績：	最佳成绩：
速度：	速度：
鎖定！	锁定！
	
速度	速度
重量	重量
	
開	开
關	关
	
金錢	金钱
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
#	#
*	*
'A'	'A'
'B'	'B'
控制器向上鍵	控制器向上键
控制器向左鍵	控制器向左键
控制器向右鍵	控制器向右键
控制器向下鍵	控制器向下键
控制器鍵中央	控制器键中央
清除鍵	清除键
編輯鍵	编辑键
左選取鍵	左选择键
右選取鍵	右选择键
撥號鍵	拨号键
結束鍵	结束键
功能表鍵	菜单键
	
<BRAKES>	<BRAKES>
<TURBO>	<TURBO>
<TURN_LEFT>	<TURN_LEFT>
<TURN_RIGHT>	<TURN_RIGHT>
<DRIFT_LEFT>	<DRIFT_LEFT>
<DRIFT_RIGHT>	<DRIFT_RIGHT>
<DRIFT_KEY>	<DRIFT_KEY>
<NEXT_CAMERA>	<NEXT_CAMERA>
<PREVIOUS_CAMERA>	<PREVIOUS_CAMERA>
	
飄移	飘移
	
按 A 鍵	按 A  键
	
BLUETOOTH SETTINGS	BLUETOOTH SETTINGS
BLUETOOTH STATUS:	BLUETOOTH STATUS:
BLUETOOTH NAME:	BLUETOOTH NAME:
	
YOUR GARAGE IS EMPTY!	YOUR GARAGE IS EMPTY!
YOU HAVE %D VEHICLES.	YOU HAVE %D VEHICLES.
YOU HAVE ONE VEHICLE.	YOU HAVE ONE VEHICLE.
SELL	SELL
DO YOU REALLY WANT TO SELL YOUR	DO YOU REALLY WANT TO SELL YOUR
%s	%s
FOR %D DOLLARS?	FOR %D DOLLARS?
CONGRATULATIONS!	CONGRATULATIONS!
	
GAME TERMINATED BY THE HOST	GAME TERMINATED BY THE HOST
